MUSIC MEMBERSHIP STUDENT 2023-2024,1 SEPT,University of Exeter,10.00
MUSIC MEMBERSHIP UNIVERSITY STAFF 2023-2024,1 SEPT,University of Exeter,65.00
INTRAMURAL SPORTS MEMBERSHIP 🏐,18 NOV,"Covered Courts, Streatham Sports Park",15.00
BALLROOM & LATIN: MEMBERS BULK TICKET,15 DEC,Lemon Grove,22.50
STASH DROP,22 DEC,"University of Exeter, Exeter EX4, United Kingdom",4.90
UOE ART WINTER STASH,4 JAN,Europe/London,38.00
COMMITTEE STASH,17 JAN,Europe/London,22.00
UN WOMEN EXETER SOCIETY STASH DROP,19 JAN,Europe/London,3.50
STAR TERM 2 INTERMURAL NETBALL MEMBERSHIP,19 JAN,"University of Exeter, Exeter EX4, United Kingdom",5.00
HIDE AND SEEK HOODIE 2023-24,26 JAN,Europe/London,20.50
HIDE AND SEEK ZIP-UP HOODIE 2023-24,26 JAN,Europe/London,22.00
HIDE AND SEEK T-SHIRT 2023-24,26 JAN,Europe/London,7.25
HIDE AND SEEK CREW NECK SWEATSHIRT 2023-24,26 JAN,Europe/London,18.00
RAG STASH,26 JAN,"University of Exeter, Exeter EX4, United Kingdom",7.64
EUFAS STASH (NO PERSONALISATION),27 JAN,Exeter Uni,6.00
STASH,28 JAN,"University of Exeter, Exeter EX4, United Kingdom",35.99
STASH - HOODIE,29 JAN,"University Of Exeter Campus, Exeter EX4 4RN",20.00
STASH - TOTE BAG,29 JAN,"University Of Exeter Campus, Exeter EX4 4RN",5.00
STASH - BUCKET HAT,29 JAN,"University Of Exeter Campus, Exeter EX4 4RN",7.00
STASH - T-SHIRT,29 JAN,"University Of Exeter Campus, Exeter EX4 4RN",7.00
COACH STASH,29 JAN,Lemon Grove,19.56
EUFAS STASH (WITH NAME / INITIALS),29 JAN,Exeter Uni,10.80
T-SHIRT,29 JAN,"University of Exeter, Exeter EX4, United Kingdom",15.00
FLEECE,29 JAN,"University of Exeter, Exeter EX4, United Kingdom",29.00
TOTE BAG,29 JAN,"University of Exeter, Exeter EX4, United Kingdom",8.00
INTERMURAL BADMINTON ENACTUS,30 JAN,"Sports Hall, Streatham Sports Park",20.00
COACH COMP ENTRY,30 JAN,Lemon Grove,9.00
NETBALL INTRAMURAL TERM 2 AND 3,31 JAN,Streatham Sports Park Exeter University,10.00
BOOK CLUB,31 JAN,Forum Seminar Rooms 1-3,FREE
31/01 ATTACK WITH CAROLINE,31 JAN,Lemon Grove,1.50
BALLROOM AND LATIN WEEK 3 NOVICE LESSONS,31 JAN,Lemon Grove | Back Room,3.00
31/01 DANCE FITNESS WITH BAYLEI,31 JAN,Lemon Grove,1.50
CONTEMPORARY FUSION CLASS,31 JAN,"Frank Oliver, Kay House",2.00
BALLROOM AND LATIN WEEK 3 HIGHER LEVEL WORKSHOPS,31 JAN,Lemon Grove | Back Room,3.00
BEGINNER'S BALLET - DANCE SOCIETY,31 JAN,"The Terrace, University of Exeter Students' Guild",1.50
UNIVERSITY OF EXETER SALSA,31 JAN,Lemon Grove | Main Room,4.00
WEEKLY SCREENING,31 JAN,Newman Red LT,FREE
K-POP SOCIETY: INDOOR PICNIC,31 JAN,Exeter University Forum Expo Labs,FREE
HUNTING FOR HORCRUXES!,31 JAN,Forum Seminar Room 2,1.00
BEGINNER'S TAP - DANCE SOCIETY,31 JAN,Lemon Grove,1.50
ADVANCED BALLET - DANCE SOCIETY,31 JAN,"The Terrace, University of Exeter Students' Guild",1.50
ARCADE TRIP - VIDEO GAMES SOCIETY,31 JAN,Boneyard Arcade,2.40
SOCIAL: PUB QUIZ,31 JAN,"The Cellar Bar, Coolings",FREE
ARCADE TRIP - ANIME SOCIETY,31 JAN,Boneyard Arcade,2.40
PERCY JACKSON FINALE WATCHING PARTY,31 JAN,Newman Collaborative Lecture Theatre (C/D),FREE
KARAOKE NIGHT!,31 JAN,"Longbrook Street, Badavi's Lounge",FREE
ADVANCED TAP - DANCE SOCIETY,31 JAN,Lemon Grove,1.50
KARAOKE NIGHT,31 JAN,Badavis Lounge,FREE
CARRIE PROM NIGHT,31 JAN,The Monkey Suit,5.00
IMPROVERS - 10AM THURSDAY,1 FEB,"Activity Room 2, Cornwall House",3.00
BUCKING BRONCO!,1 FEB,"Great Hall Piazza (outside Great Hall), Streatham Campus, Exeter",FREE
01/02 LBT WITH ANNA,1 FEB,Lemon Grove,1.50
FREE PICK N MIX!,1 FEB,Great Piazza (outside the Great Hall),FREE
FREE PICK N MIX!,1 FEB,St Luke's Quad,FREE
BUCKING BRONCO!,1 FEB,St Luke's Quad,FREE
TABLE TENNIS,1 FEB,"Great Hall Piazza (outside Great Hall), Streatham Campus, Exeter",FREE
01/02 ZUMBA WITH CAROLINE,1 FEB,Lemon Grove,1.50
BEGINNERS - 12PM THURSDAY,1 FEB,"Activity Room 2, Cornwall House",3.00
HOT CHOC & CHORES STUDY SESSION,1 FEB,Grow coffee house,FREE
01/02 PILATES WITH EMILY,1 FEB,Lemon Grove,1.50
01/02 BODY CONDITIONING WITH SOL,1 FEB,Lemon Grove,1.50
HERTIE SCHOOL TALK,1 FEB,Europe/London,FREE
THURSDAY BENCHBALL SESSION (SPORTS HALL),1 FEB,"Sports Hall, Streatham Sports Park",FREE
NDSS BOARDGAMES NIGHT,1 FEB,"Forum Seminar Room 12, Streatham Campus",FREE
BEGINNERS YOGA WITH KORNELIA,1 FEB,"Lemon Grove, Back Room",3.00
XMEDIA GAMING SOCIAL,1 FEB,Forum exploration lab 1 (inside the forum above pret),FREE
POPPING CLASS,1 FEB,Lemon Grove | Activity Room 2,FREE
CONTEMPORARY - DANCE SOCIETY,1 FEB,"The Terrace, University of Exeter Students' Guild",1.50
UOE ART SOCIETY ARTS & CRAFTS SESSION,1 FEB,The Art Hut- Thornlea Rannoch,FREE
EXMUN TASKMASTER NIGHT,1 FEB,Newman Collaborative,FREE
BAKING CLASS: LEMON DRIZZLE CUPCAKES 🍋,1 FEB,St Sidwell's Community Centre,2.50
STOKE ARMS PUB QUIZ!,1 FEB,The Stoke Arms,FREE
WAVE AND LIQUID CLASS,1 FEB,Lemon Grove | Activity Room 2,2.00
JUGGLE AND FLOW - CIRCUS SKILLS EXCHANGE,1 FEB,Lemon Grove | Main Room,
ADVANCED JAZZ - DANCE SOCIETY,1 FEB,"The Terrace, University of Exeter Students' Guild",1.50
PIZZA @ THE FIREHOUSE,1 FEB,The old Firehouse,3.50
EXSIF PUBCRAWL SOCIAL,1 FEB,Imperial Wetherspoons,FREE
KING JOHN (THURSDAY),1 FEB,Cygnet Theatre,6.00
SCAVENGER HUNT WITH CANOE CLUB AND LGBTQ+ SOCIETY,1 FEB,"The Terrace, University of Exeter Students' Guild",FREE
HEELS CLASS,1 FEB,Lemon Grove | Activity Room 2,2.00
EXETER UNI POLITICS SOCIETY PUB GOLF,1 FEB,Revolution Exeter,FREE
BEGINNER'S JAZZ - DANCE SOCIETY,1 FEB,"The Terrace, University of Exeter Students' Guild",1.50
EXENG 6-A-SIDE FOOTBALL (FRIDAY),2 FEB,Streatham Sports Park Sand Pitches,15.00
POSTGRADUATE SOCIETY STASH 2023/24,2 FEB,The University of Exeter,23.00
02/02 ATTACK WITH CAROLINE,2 FEB,Lemon Grove,1.50
SPINNING POLE - 11:15AM FRIDAY,2 FEB,"Activity Room 2, Cornwall House",3.00
02/02 LBT WITH SOL,2 FEB,Lemon Grove,1.50
02/02 PILATES WITH SOL,2 FEB,Lemon Grove,1.50
GEOGSOCC,2 FEB,Streatham Sports Park Sand Pitches,9.00
MOVIE & TRIVIA NIGHT! HARRY POTTER & THE HALF BLOOD PRINCE!,2 FEB,Newman Red LT,FREE
STREET - DANCE SOCIETY,2 FEB,"The Terrace, University of Exeter Students' Guild",1.50
DRINK N' DRAW AT THE GLORIOUS ART HOUSE,2 FEB,the glorious arthouse,9.00
SWING DANCE GIVE-IT-A-GO: FRIDAY 2ND FEBRUARY,2 FEB,"Lemon Grove, Back Room",1.00
1ST FRIDAY BENCHBALL SESSION (COVERED COURTS),2 FEB,"Covered Courts, Streatham Sports Park",FREE
K-POP SOCIETY: DANCE TUTORIAL,2 FEB,Thornlea Studio 1,3.40
BEGINNER'S IRISH - DANCE SOCIETY,2 FEB,Lemon Grove,1.50
PAINT AND SIP,2 FEB,The Sanctuary,6.50
KING JOHN (FRIDAY),2 FEB,Cygnet Theatre,6.00
FILMSOC X LITSOC | DRINKS & NIBBLES,2 FEB,50.7,2.00
DRINKS AND NIBBLES,2 FEB,50.7,9.00
2ND FRIDAY BENCHBALL SESSION (COVERED COURTS),2 FEB,"Covered Courts, Streatham Sports Park",FREE
ADVANCED IRISH - DANCE SOCIETY,2 FEB,Lemon Grove,1.50
SUPER BOWL AND SPORTS SOCIAL,2 FEB,"Castle Street Bar, Little Castle St, Exeter, EX4 3PX",FREE
BOLLYWOOD CLASS,2 FEB,"Lemon Grove, Back Room",2.00
LAKE DISTRICT SCRAMBLES (SCRAMBLED LAKES ON TOAST),3 FEB,Lake District,60.00
TRIP TO THE ROMAN BATHS,3 FEB,Roman Baths Museum,35.00
WEEK 3: CLOVELLY COASTAL WALKS,3 FEB,Exeter St David's Station,18.50
03/02 CIRCUITS - FAMILY SOCIAL,3 FEB,Lemon Grove,1.00
OPEN FILM ORCHESTRA DAY!,3 FEB,"Frank Oliver, Kay House",5.00
XTV X XPRESSIONFM PODCAST WORKSHOP,3 FEB,XpressionFM Studio,FREE
BRING A BUDDY - DANCE SOC!,3 FEB,Lemon Grove,3.00
KASPA'S SOCIAL,3 FEB,Kaspa's Desserts,FREE
CHIP SHOP CRAWL,3 FEB,Bury Meadow Park,FREE
VIETSOC KARAOKE NIGHT,3 FEB,The Barn Student Accommodation,2.00
KING JOHN (SATURDAY),3 FEB,Cygnet Theatre,6.00
INTER-MURAL NETBALL,4 FEB,"Sports Hall, Saints Sports Centre",5.00
EXENG MIXED NETBALL (SUNDAY),4 FEB,University of Exeter Covered Courts,15.00
EAFS NETBALL MEMBERSHIP,4 FEB,University of Exeter Covered Courts,7.50
EUCB WELLBEING WALK,4 FEB,The Forum,FREE
PHOTOSOC CAFE SOCIAL AND DARKROOM SESSION,4 FEB,The Forum,FREE
NETWORKING AND PLANT PLOTTING SOCIAL,4 FEB,Urban Underground,FREE
EXENG 11-A-SIDE FOOTBALL (SATURDAY),4 FEB,"3G Rubber Crumb Pitch, University of Exeter Sports Park",15.00
GEOGNETBALL,4 FEB,"Tennis Centre, Streatham Sports Park",10.70
HISTSOC NETBALL TERM 2 MEMBERSHIP,4 FEB,University of Exeter Covered Courts,8.00
THEOLOGY INTRAMURAL NETBALL MEMBERSHIP TERM 2,4 FEB,Exeter Uni Sports Park,7.50
INTRAMURAL NETBALL TERM 2 MEMBERSHIP,4 FEB,University of Exeter Covered Courts,8.00
SCREENING OF 2001 A SPACE ODYSSEY AT CAMPUS CINEMA (5:30PM),4 FEB,The Theatre (M&D room),2.00
BOWLING WITH BAKESOC 🎳💜,4 FEB,Tenpin Bowling Exeter,4.30
